OBJECTID_1,OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE,BUFF_DIST,ORIG_FID,Shape_Leng,Shape_Area,impact,impact_dis,impact_eph,impact_e,impact_d,impact_de
"13","174",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319073",C,9457.00000000000,PRATHER WELL #2 (SOUTH),,WL,GW,P,32.78651200000,-105.98251800000,"003",2004/09/22,320.00000000000,FT,12.00000000000,IN,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"12",5055.84077383000,2033845.43981999997,"1","0","1","1","0","1"
"14","175",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319014",C,12189.00000000000,COVERED RAW WATER RESERVOIRS #1 - #3,,RS,SW,P,32.97035700000,-105.93415400000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"13",5055.85268586000,2033845.47533000004,"1","0","1","1","0","1"
"15","176",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319004",C,12179.00000000000,CABALLERO CANYON SPRINGS,,SP,SW,P,32.87612900000,-105.83678900000,"003",2004/09/24,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"14",5055.84655992000,2033845.45134999999,"1","0","1","1","0","1"
"16","177",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319034",C,8933.00000000000,UPPER SPRINGER INFILTRATION GALLERY,,IG,SW,P,32.97361100000,-105.90333300000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"15",5055.85290576000,2033845.48233000003,"1","1","1","1","1",
"17","178",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319033",C,8932.00000000000,LOWER MARUCHE INFILTRATION GALLERY,,IG,SW,P,32.99504200000,-105.83862000000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"16",5055.85424059000,2033845.43883999996,"1","1","1","1","1",
"18","179",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319008",C,12183.00000000000,CROCKET SPRINGS,,SP,SW,P,33.01409600000,-105.84667000000,"003",2004/09/23,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"17",5055.85548673000,2033845.44619999989,"1","0","1","1","0","1"
"19","180",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319009",C,12184.00000000000,UPPER MARUCHE SPRINGS,,SP,SW,P,32.99504200000,-105.83862000000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"18",5055.85424059000,2033845.43883999996,"1","1","1","1","1",
"20","181",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319001",C,12175.00000000000,ALAMO CANYON SPRINGS,,SP,SW,P,32.85479200000,-105.83845500000,"003",2004/09/24,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"19",5055.84518052000,2033845.44922000007,"1","0","1","1","0","1"
"21","182",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319003",C,12178.00000000000,GORDON CANYON SPRINGS,,SP,SW,P,32.83131500000,-105.82325500000,"003",2004/09/24,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"20",5055.84366352000,2033845.44561999990,"1","0","1","1","0","1"
"22","183",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319013",C,12188.00000000000,FRESNAL CANYON SPRINGS,,SP,SW,P,32.87277700000,-105.94527700000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"21",5055.84634134000,2033845.44922000007,"1","0","1","1","0","1"
"23","184",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319092",C,14392.00000000000,SNAKE TANK WELL 5,,WL,GW,P,33.21060700000,-106.04033600000,"003",2019/11/05,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"22",5055.86827905000,2033845.45360999997,"1","0","1","1","0","1"
"24","185",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319012",C,12187.00000000000,LOWER SPRINGER SPRINGS,,SP,SW,P,32.98348300000,-105.82316000000,"003",2004/09/22,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"23",5055.85346751000,2033845.41987999994,"1","1","1","1","1",
"25","186",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000000,25011000.00000000000,"13319020",C,7003.00000000000,FRESNAL CANYON DIVERSIONS & SPRINGS,,IN,SW,P,32.95825800000,-105.88270200000,"003",2004/09/23,0.00000000000,,0.00000000000,,0.00000000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1",0.50000000000,"24",5055.85184888000,2033845.43253000011,"1","1","1","1","1",
