OBJECTID,NUMBER0,SYSTEM_NAM,TINWSYS_LO,OWNER_TYPE,D_PRIN_CIT,D_PRIN_CNT,D_FED_PRIM,D_POPULATI,D_TTL_STOR,ST_ASGN_ID,D_PWS_FED_,TINWSF_IS_,FACILITY_N,TINWSF_LOC,FACILITY_T,WATER_TYPE,AVAILABILI,LAT,LON,HORIZ_REF_,DATA_COLLE,DEPTH_OF_W,DEPTH_OF_1,WELL_DIAME,WELL_DIA_1,STATIC_WAT,STATIC_W_1,OFFICE,OVERSIGHT,ACTIVE
"178",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319033",C,8932.00000000,LOWER MARUCHE INFILTRATION GALLERY,,IG,SW,P,32.99504200,-105.83862000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"179",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319008",C,12183.00000000,CROCKET SPRINGS,,SP,SW,P,33.01409600,-105.84667000,"003",2004/09/23,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"180",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319009",C,12184.00000000,UPPER MARUCHE SPRINGS,,SP,SW,P,32.99504200,-105.83862000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"181",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319001",C,12175.00000000,ALAMO CANYON SPRINGS,,SP,SW,P,32.85479200,-105.83845500,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"182",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319003",C,12178.00000000,GORDON CANYON SPRINGS,,SP,SW,P,32.83131500,-105.82325500,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"183",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319013",C,12188.00000000,FRESNAL CANYON SPRINGS,,SP,SW,P,32.87277700,-105.94527700,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"184",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319092",C,14392.00000000,SNAKE TANK WELL 5,,WL,GW,P,33.21060700,-106.04033600,"003",2019/11/05,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"185",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319012",C,12187.00000000,LOWER SPRINGER SPRINGS,,SP,SW,P,32.98348300,-105.82316000,"003",2004/09/22,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"186",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319020",C,7003.00000000,FRESNAL CANYON DIVERSIONS & SPRINGS,,IN,SW,P,32.95825800,-105.88270200,"003",2004/09/23,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"-1"
"187",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319002",C,12177.00000000,BONITO LAKE,,RS,SW,P,33.45570800,-105.73136000,"003",2004/09/24,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"188",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319017",C,12196.00000000,ALAMO-HOLLOMAN BOOSTER STATION & CC,,CH,SW,P,32.87236100,-105.96586100,"003",2008/03/12,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"189",NM3513319,ALAMOGORDO DOMESTIC WATER SYSTEM,,L,ALAMOGORDO,OTERO,SW,35629.00000000,25011000.00000000,"13319074",C,10668.00000000,BONITO LAKE INTAKE,,IN,SW,P,33.45570800,-105.73136100,"003",2004/08/26,0.00000000,,0.00000000,,0.00000000,,LAS CRUCES AREA OFFICE,JOHN PIJAWKA,"0"
"197",NM3590024,NAVAJO LAKE STATE PARK - COTTONWOOD CAMP,,S,NAVAJO DAM,SAN JUAN,GU,200.00000000,43750.00000000,"90024001",NC,8941.00000000,INFILTRATION GALLERY # 1,,IG,GU,P,36.80800000,-107.67799000,"003",2020/01/15,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,JAMES JONES,"-1"
"198",NM3590024,NAVAJO LAKE STATE PARK - COTTONWOOD CAMP,,S,NAVAJO DAM,SAN JUAN,GU,200.00000000,43750.00000000,"90024003",NC,9477.00000000,WELL #1,,WL,GW,E,36.80861100,-107.67638900,"003",2003/10/06,46.00000000,FT,6.00000000,IN,28.00000000,FT,SANTA FE AREA OFFICE,JAMES JONES,"0"
"224",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025002",C,2566.00000000,WELL #2,,WL,GW,P,35.56741300,-105.24708300,"003",,744.00000000,FT,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"225",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025003",C,2567.00000000,WELL #4,TYLER WELL #4,WL,GW,P,35.56295600,-105.24772600,"003",,829.00000000,FT,16.00000000,IN,80.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"226",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025022",C,14078.00000000,PETERSON RESERVOIR,,RS,SW,P,35.64984400,-105.27942500,"003",2018/02/12,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"227",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025013",C,10869.00000000,SETTLING BASIN - GALLINAS RIVER DIV. DAM,,RS,SW,P,35.65007500,-105.30922500,"003",2014/09/23,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"228",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025001",C,7013.00000000,GALLINAS RIVER DIVERSION DAM INTAKE,,IN,SW,P,35.64985000,-105.31655800,"003",2014/09/23,0.00000000,,0.00000000,,0.00000000,,SANTA FE AREA OFFICE,SF FRANK BACA,"-1"
"229",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025004",C,2568.00000000,WELL #5,,WL,GW,P,35.57799700,-105.25125100,"003",,744.00000000,FT,0.00000000,,150.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0"
"230",NM3518025,LAS VEGAS (CITY OF),,L,LAS VEGAS,SAN MIGUEL,SW,18044.00000000,8100000.00000000,"18025005",C,2569.00000000,WELL #6,,WL,GW,P,35.57176400,-105.24913000,"003",,880.00000000,FT,0.00000000,,105.00000000,FT,SANTA FE AREA OFFICE,SF FRANK BACA,"0"
